"function_name","file","has_examples","quality","issues"
"KL_divergence","07_comparison_metrics.R",FALSE,"none","No @examples/@example tag or example code"
"armamod","01_representations_classes.R",TRUE,"good","none"
"arx_rls_core","05_estimation_rls.R",FALSE,"none","No @examples/@example tag or example code"
"as.stspmod","01_representations_classes.R",FALSE,"none","No @examples/@example tag or example code"
"autocov","03_properties_autocov.R",TRUE,"good","none"
"cbind_templates","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"compare_estimates","07_comparison_metrics.R",FALSE,"none","No @examples/@example tag or example code"
"dft_3D","03_properties_frequency.R",FALSE,"none","No @examples/@example tag or example code"
"est_ML","05_estimation_likelihood.R",TRUE,"needs_improvement","Missing set.seed() for stochastic function"
"est_ar","05_estimation_ar.R",TRUE,"good","none"
"est_ar_dlw","05_estimation_ar.R",FALSE,"none","No @examples/@example tag or example code"
"est_ar_ols","05_estimation_ar.R",FALSE,"none","No @examples/@example tag or example code"
"est_ar_yw","05_estimation_ar.R",FALSE,"none","No @examples/@example tag or example code"
"est_arma_hrk","05_estimation_arma_hrk.R",TRUE,"good","none"
"est_arma_hrk3","05_estimation_arma_hrk.R",TRUE,"needs_improvement","Missing set.seed() for stochastic function"
"est_stsp_aoki","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"est_stsp_cca","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"est_stsp_cca_sample","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"est_stsp_ss","05_estimation_subspace.R",TRUE,"good","none"
"estorder_IVC","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"estorder_MOE","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"estorder_SVC","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"estorder_max","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"estorder_rkH","05_estimation_subspace.R",FALSE,"none","No @examples/@example tag or example code"
"evaluate_prediction","04_timeseries_predict.R",FALSE,"none","No @examples/@example tag or example code"
"extract_theta","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"fevardec","03_properties_impulse.R",TRUE,"good","none"
"fill_template","02_templates.R",TRUE,"good","none"
"freqresp","03_properties_frequency.R",TRUE,"good","none"
"impresp","03_properties_frequency.R",FALSE,"none","No @examples/@example tag or example code"
"innovation_form","01_representations_classes.R",TRUE,"good","none"
"is.template","02_templates.R",TRUE,"good","none"
"kf","05_estimation_likelihood.R",TRUE,"good","none"
"ll","05_estimation_likelihood.R",TRUE,"good","none"
"ll_FUN","05_estimation_likelihood.R",TRUE,"good","none"
"ll_kf","05_estimation_likelihood.R",TRUE,"good","none"
"ll_pfilter","05_estimation_particle.R",TRUE,"needs_improvement","Missing set.seed() for stochastic function"
"ll_theta","05_estimation_likelihood.R",FALSE,"none","No @examples/@example tag or example code"
"model2template","02_templates.R",TRUE,"good","none"
"pfilter","05_estimation_particle.R",TRUE,"needs_improvement","Missing set.seed() for stochastic function"
"plot_prediction","06_visualization_plot_prediction.R",FALSE,"none","No roxygen block found"
"pm_test","07_comparison_metrics.R",TRUE,"good","none"
"r_model","01_representations_classes.R",TRUE,"needs_improvement","Missing set.seed() for stochastic function"
"riccati","05_estimation_subspace.R",TRUE,"good","none"
"rmfdmod","01_representations_classes.R",TRUE,"good","none"
"sim","04_timeseries_simulate.R",TRUE,"needs_improvement","Missing set.seed() for stochastic function"
"solve_ARMA_R","04_timeseries_solve.R",FALSE,"none","No @examples/@example tag or example code"
"solve_RMFD_R","04_timeseries_solve.R",FALSE,"none","No @examples/@example tag or example code"
"solve_de","04_timeseries_solve.R",TRUE,"good","none"
"solve_inverse_RMFD_R","04_timeseries_solve.R",FALSE,"none","No @examples/@example tag or example code"
"solve_inverse_de","04_timeseries_solve.R",FALSE,"none","No @examples/@example tag or example code"
"spectrald","03_properties_spectral.R",TRUE,"good","none"
"stspmod","01_representations_classes.R",TRUE,"good","none"
"test_armamod","01_representations_classes.R",TRUE,"good","none"
"test_stspmod","01_representations_classes.R",TRUE,"good","none"
"tmpl_DDLC","02_templates.R",TRUE,"good","none"
"tmpl_GRAM","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"tmpl_arma_echelon","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"tmpl_arma_pq","02_templates.R",TRUE,"good","none"
"tmpl_cycle","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"tmpl_llm","02_templates.R",TRUE,"good","none"
"tmpl_lltm","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"tmpl_rmfd_echelon","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"tmpl_rmfd_pq","02_templates.R",TRUE,"good","none"
"tmpl_season","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"tmpl_sigma_L","02_templates.R",TRUE,"good","none"
"tmpl_stsp_ar","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"tmpl_stsp_echelon","02_templates.R",TRUE,"good","none"
"tmpl_stsp_full","02_templates.R",FALSE,"none","No @examples/@example tag or example code"
"toepl_fwd","04_timeseries_solve.R",TRUE,"good","none"
"toepl_inv","04_timeseries_solve.R",TRUE,"good","none"
